,match_id,Home,Away,Datetime,HomePos,HomePts,AwayPos,AwayPts,Result,HomeMatches,AwayMatches,OddsH1,OddsD1,OddsA1,OddsH2,OddsD2,OddsA2,OddsH3,OddsD3,OddsA3,OddsH4,OddsD4,OddsA4,OddsH5,OddsD5,OddsA5,HATT,HMID,HDEF,HOVR,HATT,HMID,HDEF,HOVR,HNplayers,HAverageAge,HNforeign,HPlayerValues,HMarketValue,ANplayers,AAverageAge,ANforeign,APlayerValues,AMarketValue
40,317826,Sunderland,Hull,09/12/2009 15:00:00,9,6,14,4,4-1,4,4,0,1.75,3.5,5,1.75,3.25,4.5,1.77,3.3,4.75,1.8,3.4,4.3,1.8,3.25,78,77,74,75,70,72,73,73,38,24.5,26,131.7,3.47,37,26,23,75.65,2.04
41,317827,Tottenham,Man Utd,09/12/2009 17:30:00,2,12,3,9,1-3,4,4,1,3.1,3.4,2.3,3,3.2,2.2,3.1,3.2,2.25,3,3.1,2.35,3.1,3.4,81,78,78,79,86,81,84,82,41,23.3,20,249.2,6.08,33,25,22,362.95,11
42,317828,Man City,Arsenal,09/12/2009 15:00:00,5,7,6,6,4-2,3,3,0,2.88,3.25,2.5,2.8,3.2,2.3,2.8,3.25,2.45,2.7,3.2,2.5,3,3.25,84,80,80,81,85,82,82,81,40,24.1,24,314.9,7.87,45,21.7,31,281,6.24
43,317829,Blackburn,Wolves,09/12/2009 15:00:00,18,1,13,4,3-1,3,4,0,1.83,3.5,4.5,1.85,3.25,4,1.85,3.4,4.1,1.85,3.4,4,1.83,3.4,75,75,75,75,75,72,69,72,35,25.3,29,90.3,2.58,37,24.1,19,59.7,1.61
44,317830,Fulham,Everton,09/13/2009 16:15:00,15,3,16,3,2-1,3,3,0,2.6,3.2,2.8,2.4,3.15,2.7,2.6,3.1,2.7,2.4,3.2,2.85,2.5,3.3,76,76,77,76,80,77,79,79,42,25.3,28,92.8,2.21,42,23.1,23,221.55,5.28
45,317831,Birmingham,Aston Villa,09/13/2009 12:00:00,12,4,8,6,0-1,3,4,0,3.4,3.25,2.25,3,3.2,2.2,3.2,3.2,2.2,3,3.2,2.3,3.3,3.2,73,75,71,74,82,79,76,79,36,25.5,18,63.5,1.76,31,25.5,13,160.4,5.17
46,317832,Portsmouth,Bolton,09/12/2009 15:00:00,20,-9,19,0,2-3,4,3,0,2.6,3.2,2.8,2.5,3.15,2.6,2.5,3.2,2.75,2.4,3.2,2.85,2.6,3.25,75,74,74,75,77,75,73,75,45,25.4,29,99.85,2.22,32,25.3,18,85.33,2.67
47,317833,Stoke,Chelsea,09/12/2009 15:00:00,5,7,1,12,1-2,4,4,0,9,4.5,1.4,7.25,4,1.4,9,4,1.4,7.5,4.3,1.4,8,4.5,76,72,75,73,85,84,84,83,37,25.9,18,76.8,2.08,33,25.5,24,443.9,13.45
48,317834,Wigan,West Ham,09/12/2009 15:00:00,17,3,11,4,1-0,4,3,0,2.3,3.25,3.25,2.15,3.25,3.05,2.3,3.25,3,2.2,3.2,3.2,2.25,3.3,74,74,74,74,76,76,75,76,35,25.4,27,73.9,2.11,35,23.8,20,118.3,3.38
49,317836,Arsenal,Wigan,09/19/2009 15:00:00,9,6,11,6,4-0,4,5,0,1.25,5.5,13,1.25,5,10,1.22,5.5,13,1.22,5.3,13,1.22,6.5,85,82,82,81,74,74,74,74,45,21.7,31,281,6.24,35,25.4,27,73.9,2.11
50,317837,West Ham,Liverpool,09/19/2009 17:30:00,13,4,5,9,2-3,4,5,0,6.5,4,1.53,6.25,3.95,1.45,6,4,1.5,6,3.7,1.55,6,3.75,76,76,75,76,88,82,81,82,35,23.8,20,118.3,3.38,30,24.4,24,336.6,11.22
51,317838,Aston Villa,Portsmouth,09/19/2009 15:00:00,6,9,20,9,2-0,4,5,0,1.4,4.2,10,1.35,4,9,1.4,4,9,1.43,4,7.6,1.36,4.5,82,79,76,79,75,74,74,75,31,25.5,13,160.4,5.17,45,25.4,29,99.85,2.22
52,317839,Everton,Blackburn,09/20/2009 15:00:00,19,3,15,4,3-0,4,4,0,1.8,3.3,5,1.65,3.4,5,1.75,3.3,5,1.75,3.5,4.6,1.8,3.5,80,77,79,79,75,75,75,75,42,23.1,23,221.55,5.28,35,25.3,29,90.3,2.58
