,match_id,Home,Away,Datetime,HomePos,HomePts,AwayPos,AwayPts,Result,HomeMatches,AwayMatches,OddsH1,OddsD1,OddsA1,OddsH2,OddsD2,OddsA2,OddsH3,OddsD3,OddsA3,OddsH4,OddsD4,OddsA4,OddsH5,OddsD5,OddsA5,HATT,HMID,HDEF,HOVR,HATT,HMID,HDEF,HOVR,HNplayers,HAverageAge,HNforeign,HPlayerValues,HMarketValue,ANplayers,AAverageAge,ANforeign,APlayerValues,AMarketValue
39,335062,Deportivo,Sevilla,10/17/2009 17:00:00,4.0,12.0,3,15.0,1-0,6,6,3.6,3.3,2.1,3.6,3.3,2.0,3.75,3.2,2.0,3.4,3.3,2.05,3.2,3.2,2.0,76,76,78,76,84,78,77,79,31,25.0,8,62.5,2.02,36,24.5,18,213.8,5.94
40,335063,Real Madrid,Valladolid,10/17/2009 19:00:00,2.0,15.0,17,5.0,4-2,6,6,1.17,7.0,15.0,1.12,8.0,16.0,1.15,7.5,13.0,1.15,7.2,14.0,1.12,6.0,15.0,83,85,82,83,75,75,74,74,31,24.5,16,489.4,15.79,32,24.5,7,49.9,1.56
41,335065,Mallorca,Getafe,10/18/2009 16:00:00,6.0,10.0,8,9.0,3-1,6,6,2.15,3.25,3.4,2.1,3.4,3.2,2.15,3.25,3.25,2.0,3.3,3.6,2.0,3.2,3.2,76,73,73,73,78,75,76,75,27,25.7,11,51.1,1.89,29,25.4,9,73.5,2.53
42,335069,Zaragoza,Racing Santander,10/18/2009 16:00:00,11.0,7.0,16,5.0,2-2,6,6,2.0,3.4,3.75,2.0,3.4,3.45,2.0,3.3,3.6,2.15,3.25,3.25,1.91,3.2,3.5,75,74,74,74,77,75,74,75,37,25.5,18,87.5,2.36,34,24.4,9,78.7,2.31
43,335070,Valencia,Barcelona,10/17/2009 21:00:00,5.0,11.0,1,18.0,0-0,6,6,4.75,3.75,1.7,4.85,3.7,1.65,4.75,3.6,1.7,4.1,3.5,1.8,4.33,3.4,1.67,86,79,79,80,88,86,84,84,34,24.6,10,213.8,6.29,31,24.1,15,425.5,13.73
44,335076,Tenerife,Xerez,10/25/2009 15:00:00,16.0,6.0,17,5.0,1-0,7,7,1.91,3.3,4.2,1.85,3.3,4.2,1.83,3.4,4.25,1.9,3.3,3.9,1.91,3.2,3.5,73,73,71,72,73,71,70,72,24,26.0,4,21.6,0.9,26,26.5,8,32.5,1.25
45,335079,Valladolid,Deportivo,10/25/2009 15:00:00,18.0,5.0,4,15.0,4-0,7,7,2.6,3.2,2.75,2.5,3.3,2.65,2.5,3.25,2.7,2.55,3.3,2.55,2.5,3.2,2.5,75,75,74,74,76,76,78,76,32,24.5,7,49.9,1.56,31,25.0,8,62.5,2.02
46,335081,Sporting Gijon,Real Madrid,10/24/2009 19:00:00,7.0,11.0,2,18.0,0-0,7,7,7.0,4.33,1.44,6.75,4.3,1.5,6.5,4.25,1.45,6.3,4.0,1.5,6.0,3.75,1.44,75,73,70,73,83,85,82,83,35,24.4,3,42.7,1.22,31,24.5,16,489.4,15.79
47,335086,Getafe,Athletic Club,10/25/2009 15:00:00,12.0,9.0,10,10.0,2-0,7,7,2.0,3.5,3.75,2.0,3.3,3.6,2.0,3.3,3.6,1.9,3.3,3.9,1.83,3.3,3.6,78,75,76,75,74,76,76,75,29,25.4,9,73.5,2.53,36,24.2,2,76.35,2.12
48,335088,Racing Santander,Osasuna,10/25/2009 15:00:00,14.0,6.0,9,10.0,1-1,7,7,2.3,3.3,3.1,2.25,3.25,3.05,2.25,3.2,3.1,2.1,3.25,3.4,2.2,3.2,2.8,77,75,74,75,75,74,73,74,34,24.4,9,78.7,2.31,27,26.4,7,54.8,2.03
